timestamp,bitcoin_dominance
2024-09-19,0.54481148
2024-09-24,0.53398952
2024-09-29,0.53550743
2024-10-04,0.5399516
2024-10-09,0.53780914
2024-10-14,0.53964767
2024-10-19,0.5470582
2024-10-24,0.5463934
2024-10-29,0.5558392
2024-11-03,0.56120564
2024-11-08,0.5541576
2024-11-13,0.56659462
2024-11-18,0.5600871
2024-11-23,0.55338844
2024-11-28,0.53999504
2024-12-03,0.51311844
2024-12-08,0.50923775
2024-12-13,0.5202229
2024-12-18,0.53429707
2024-12-23,0.54426968
2024-12-28,0.53787766
2025-01-02,0.5316835
2025-01-07,0.53169373
2025-01-12,0.5366676
2025-01-17,0.53278152
2025-01-22,0.54568035
2025-01-25,0.54810295
